iter	Logloss
0	0.6109917707
1	0.545383612
2	0.4965220583
3	0.4570976918
4	0.426629339
5	0.4016019326
6	0.3823842965
7	0.3688526161
8	0.3564942495
9	0.3467378502
10	0.3391933347
11	0.3328912296
12	0.3276263145
13	0.323158032
14	0.3195500697
15	0.3166338846
16	0.3142411263
17	0.312518103
18	0.3109399297
19	0.3095519767
20	0.3085238669
21	0.3076057094
22	0.3068027117
23	0.3062570268
24	0.3056971332
25	0.3052233102
26	0.3048574033
27	0.3045163647
28	0.3043048633
29	0.3041385744
30	0.3039125302
31	0.3038087559
32	0.3036407647
33	0.3035022034
34	0.3033953044
35	0.3032950888
36	0.3032279287
37	0.3031475469
38	0.3030874669
39	0.3030218131
40	0.3029619916
41	0.3029262794
42	0.3028814169
43	0.3028506404
44	0.3028331748
45	0.3028103925
46	0.3027868096
47	0.3027637569
48	0.3027369168
49	0.3027135663
50	0.3026935918
51	0.3026794868
52	0.3026619796
53	0.3026478068
54	0.3026355338
55	0.3026245244
56	0.3026184097
57	0.302609384
58	0.3026046862
59	0.3025949606
60	0.3025844766
61	0.3025728341
62	0.3025651646
63	0.3025606118
64	0.3025530931
65	0.3025471581
66	0.3025410324
67	0.3025358724
68	0.3025318388
69	0.3025272551
70	0.3025180161
71	0.3025121595
72	0.302511503
73	0.3025034796
74	0.3024971381
75	0.3024910943
76	0.3024899516
77	0.3024822482
78	0.3024800362
79	0.302477471
80	0.3024736825
81	0.3024693595
82	0.3024655159
83	0.3024643765
84	0.3024597872
85	0.3024567188
86	0.3024537412
87	0.3024500654
88	0.3024489101
89	0.3024466036
90	0.3024416641
91	0.3024408854
92	0.302438524
93	0.3024359018
94	0.3024332369
95	0.3024313443
96	0.3024319054
97	0.302428965
98	0.3024232081
99	0.3024213847
100	0.3024181171
101	0.3024146482
102	0.3024118558
103	0.3024080778
104	0.3024053637
105	0.3024043646
106	0.3024009435
107	0.302396678
108	0.3023961054
109	0.3023934414
110	0.3023913744
111	0.302389142
112	0.3023848461
113	0.3023842913
114	0.3023813102
115	0.3023775938
116	0.3023753222
117	0.3023719533
118	0.3023678003
119	0.3023637906
120	0.3023603409
121	0.3023587643
122	0.3023588068
123	0.302356214
124	0.3023517647
125	0.3023508447
126	0.3023503167
127	0.3023471953
128	0.3023476922
129	0.3023428075
130	0.302338003
131	0.302335876
132	0.3023342699
133	0.3023328819
134	0.3023296428
135	0.302329327
136	0.3023261801
137	0.3023235016
138	0.3023213206
139	0.3023151026
140	0.3023133165
141	0.3023117618
142	0.3023094781
143	0.3023078749
144	0.3023032837
145	0.3022995836
146	0.3022958406
147	0.3022935734
148	0.3022875581
149	0.3022854817
150	0.3022812778
151	0.3022782889
152	0.302272543
153	0.3022682384
154	0.3022664801
155	0.30226394
156	0.3022606932
157	0.302255388
158	0.3022491856
159	0.3022475932
160	0.3022450684
161	0.3022426279
162	0.3022391271
163	0.3022357823
164	0.3022336649
165	0.3022286979
166	0.3022234967
167	0.302221765
168	0.3022188728
169	0.3022155797
170	0.302210559
171	0.3022074323
172	0.302206323
173	0.3022026253
174	0.3021992645
175	0.3021939225
176	0.3021915482
177	0.3021889501
178	0.3021872297
179	0.3021840719
180	0.3021817734
181	0.3021767613
182	0.3021744949
183	0.3021696082
184	0.3021659605
185	0.3021639618
186	0.302159281
187	0.3021561855
188	0.3021515471
189	0.3021482356
190	0.3021464928
191	0.3021441148
192	0.3021428181
193	0.302141271
194	0.3021399686
195	0.3021380964
196	0.302130388
197	0.3021281649
198	0.3021205529
199	0.3021198641
200	0.3021166463
201	0.3021139183
202	0.3021110404
203	0.3021103292
204	0.3021078005
205	0.3021060262
206	0.3021044172
207	0.3021025862
208	0.3020990826
209	0.302096938
210	0.3020950811
211	0.3020939438
212	0.3020919249
213	0.3020900822
214	0.3020884596
215	0.3020865402
216	0.302086341
217	0.3020825973
218	0.3020803355
219	0.302079649
220	0.3020737256
221	0.3020702465
222	0.3020667519
223	0.30206403
224	0.3020576466
225	0.3020543189
226	0.3020515985
227	0.3020470879
228	0.3020427672
229	0.3020414045
230	0.3020404243
231	0.302037703
232	0.3020354933
233	0.3020340258
234	0.3020303295
235	0.3020283046
236	0.302027791
237	0.3020263229
238	0.3020245744
239	0.3020243309
240	0.302022033
241	0.3020203055
242	0.3020175409
243	0.3020156304
244	0.3020119424
245	0.3020110023
246	0.3020078295
247	0.3020065701
248	0.3020021296
249	0.3020017365
250	0.3020004764
251	0.3019966111
252	0.3019952585
253	0.3019939647
254	0.3019911899
255	0.3019875789
256	0.3019860759
257	0.3019862098
258	0.3019848393
259	0.3019844357
260	0.3019807524
261	0.3019801025
262	0.3019785858
263	0.3019775814
264	0.3019766458
265	0.3019743393
266	0.3019700629
267	0.3019689591
268	0.3019675868
269	0.301967667
270	0.3019659764
271	0.3019604589
272	0.3019597818
273	0.301959023
274	0.3019576616
275	0.3019558001
276	0.301954909
277	0.3019544743
278	0.3019534439
279	0.3019514954
280	0.3019480081
281	0.3019462051
282	0.301945274
283	0.3019427403
284	0.3019425979
285	0.3019416632
286	0.3019398875
287	0.3019392353
288	0.3019380107
289	0.3019342403
290	0.3019330317
291	0.3019328758
292	0.301928952
293	0.3019267781
294	0.3019249698
295	0.3019234891
296	0.3019239928
297	0.3019210509
298	0.30191701
299	0.3019150233
300	0.3019141182
301	0.3019132743
302	0.3019127191
303	0.3019122759
304	0.301909976
305	0.3019068174
306	0.3019056525
307	0.3019057864
308	0.3019052242
309	0.3019049842
310	0.3019010471
311	0.3018992561
312	0.3018986924
313	0.3018978249
314	0.3018962246
315	0.3018934454
316	0.3018923921
317	0.3018915686
318	0.3018904164
319	0.3018886944
320	0.301887931
321	0.3018874905
322	0.3018858042
323	0.3018857872
324	0.3018830041
325	0.301883244
326	0.3018822067
327	0.301880142
328	0.3018781909
329	0.3018783845
330	0.3018769294
331	0.3018751461
332	0.3018738514
333	0.3018730074
