iter	Passed	Remaining
0	9	957
1	18	929
2	28	914
3	38	921
4	47	910
5	57	893
6	66	884
7	76	884
8	86	872
9	95	855
10	104	844
11	113	834
12	123	828
13	134	825
14	143	811
15	153	804
16	163	800
17	174	792
18	183	784
19	193	773
20	202	761
21	212	754
22	222	746
23	233	738
24	242	728
25	252	719
26	262	708
27	273	702
28	282	692
29	292	683
30	304	676
31	314	668
32	324	658
33	334	649
34	345	640
35	355	631
36	364	621
37	375	611
38	385	602
39	395	593
40	406	584
41	416	574
42	425	564
43	435	554
44	445	544
45	455	534
46	465	525
47	476	515
48	486	506
49	496	496
50	506	486
51	518	478
52	528	468
53	538	458
54	548	448
55	558	439
56	568	428
57	577	418
58	588	408
59	598	398
60	612	391
61	623	382
62	636	373
63	647	364
64	658	354
65	667	344
66	677	333
67	688	323
68	697	313
69	709	303
70	719	293
71	729	283
72	739	273
73	749	263
74	761	253
75	771	243
76	781	233
77	792	223
78	802	213
79	813	203
80	823	193
81	834	183
82	844	172
83	854	162
84	864	152
85	875	142
86	885	132
87	896	122
88	906	112
89	917	101
90	927	91
91	938	81
92	949	71
93	959	61
94	970	51
95	980	40
96	991	30
97	1002	20
98	1012	10
99	1023	0
